,Latitude,Longitude,Killed Min,Killed Max,Injured Min,Injured Max,No. of Suicide Blasts,Year,Month,Day,Islamic Year,Islamic Month,Islamic Day,Blast Day Type Num,City Num,Province Num,Location Category Num,Location Sensitivity Num,Open/Closed Space Num,Target Type Num
39,32.9746,70.1456,8.0,10.0,9.0,12.0,1.0,2007,7,4,1428,6,19,2,37,3,10,0,1,5
40,35.2227,72.4258,6.0,7.0,4.0,8.0,1.0,2007,7,12,1428,6,27,2,55,4,10,0,1,5
41,32.9746,70.1456,2.0,4.0,31.397260273972602,3.0,1.0,2007,7,12,1428,6,27,2,37,3,5,0,0,3
42,32.9746,70.1456,23.0,24.0,26.0,29.0,1.0,2007,7,14,1428,6,29,2,37,3,10,0,1,5
43,31.8238,70.9095,25.0,30.0,50.0,61.0,1.0,2007,7,15,1428,7,1,0,9,4,13,0,0,6
44,35.2227,72.4258,17.0,20.0,40.0,47.0,1.0,2007,7,15,1428,7,1,0,55,4,10,0,1,6
45,33.718,73.0718,16.0,17.0,50.0,70.0,1.0,2007,7,17,1428,7,3,2,17,2,5,0,1,3
46,32.9746,70.1456,14.725714285714286,4.0,2.0,3.0,1.0,2007,7,17,1428,7,3,2,37,3,9,0,1,5
47,25.8377,66.5224,28.0,30.0,28.0,50.0,1.0,2007,7,19,1428,7,5,2,28,1,10,0,1,2
48,33.5351,71.0713,6.0,8.0,30.0,35.0,1.0,2007,7,19,1428,7,5,2,14,4,13,0,0,6
49,33.5833,71.4333,15.0,20.0,8.0,58.0,1.0,2007,7,19,1428,7,5,2,24,4,14,2,0,7
50,32.9746,70.1456,14.725714285714286,4.0,5.0,6.0,1.0,2007,7,20,1428,7,6,2,37,3,9,0,1,5
51,33.718,73.0718,14.0,15.0,50.0,70.0,1.0,2007,7,27,1428,7,13,2,17,2,7,2,0,6
52,35.2227,72.4258,14.725714285714286,2.0,5.0,6.0,1.0,2007,8,3,1428,7,20,2,55,4,10,1,1,1
53,32.9746,70.1456,9.0,23.0,35.0,43.0,1.0,2007,8,4,1428,7,21,2,25,3,16,1,1,1
54,32.226,70.3761,14.725714285714286,15.20625,3.0,5.0,1.0,2007,8,17,1428,8,4,2,58,4,10,0,1,5
55,32.9746,70.1456,14.725714285714286,2.0,31.397260273972602,2.0,1.0,2007,8,19,1428,8,6,0,37,3,9,0,1,5
